matter_id,client_ref,title,practice_area,opened_on,lead_attorney,estimated_value
MAT-1518,CL-1518,Automotive Holdings Corp - Contract Breach,Regulatory,19/05/25,Daniel Park,23K
MAT-1519,CL-1519,Technology Holdings Corp v. ACME Corp - Employment Dispute,Corporate,15/04/2023,Mark Thompson,49K
MAT-1520,CL-1520,Insurance Solutions Inc - Contract Breach,IP,1626165280,Hannah Lee,13485
MAT-1521,CL-1521,Pharmaceuticals Holdings Corp - Regulatory Inquiry,Employment,1696149280,Sarah Chen,40398
MAT-1522,CL-1522,Insurance Partners - Regulatory Inquiry,M&A,28/12/2022,Robert Taylor,22K
MAT-1523,CL-1523,Pharmaceuticals Holdings Corp - Master Services Agreement Negotiation,Corporate,09-Apr-2022,Michael Brown,13187
MAT-1524,CL-1524,Automotive Systems v. ACME Corp - Employment Dispute,Tax,2021-04-24,Michael Brown,"""7,936.00"""
MAT-1525,CL-1525,Telecommunications International - Regulatory Inquiry,Contracts,07-Jun-2025,Ayesha Khan,26121
MAT-1526,CL-1526,Manufacturing Partners - Contract Breach,Litigation,02/01/2024,Hannah Lee,7K
MAT-1527,CL-1527,Retail Holdings Corp - Contract Breach,Immigration,09/03/24,Robert Taylor,"$9,097.00"
MAT-1528,CL-1528,Manufacturing Group LLC - Regulatory Inquiry,IP,02/08/21,James Wilson,5540
MAT-1529,CL-1529,Telecommunications International - Master Services Agreement Negotiation,Employment,20-Nov-2021,Ayesha Khan,38753
MAT-1530,CL-1530,Healthcare Holdings Corp - Regulatory Inquiry,Litigation,08/04/21,Robert Taylor,23884
MAT-1531,CL-1531,Telecommunications Group LLC - Master Services Agreement Negotiation,Employment,12-Jul-2022,Daniel Park,14K
MAT-1532,CL-1532,Transportation Solutions Inc v. ACME Corp - Employment Dispute,Regulatory,22-Jun-2021,Mark Thompson,46K
MAT-1533,CL-1533,Real Estate Solutions Inc v. ACME Corp - Employment Dispute,Tax,1725266080,Emily Davis,17K
MAT-1534,CL-1534,Construction Solutions Inc - Regulatory Inquiry,Contracts,1756629280,Lina Gomez,11335
MAT-1535,CL-1535,Real Estate Group LLC - Contract Breach,Regulatory,13/09/2024,Mark Thompson,45K
MAT-1536,CL-1536,Finance Systems - Contract Breach,Employment,05/09/25,Daniel Park,14869
MAT-1537,CL-1537,Real Estate International - Contract Breach,Tax,03-Aug-2021,Emily Davis,"19,224"
MAT-1538,CL-1538,Aerospace Solutions Inc v. ACME Corp - Employment Dispute,Tax,26/07/21,Lina Gomez,"€13,355"
MAT-1539,CL-1539,Finance Group LLC - Regulatory Inquiry,Immigration,06/12/22,Emily Davis,"""17,807.00"""
MAT-1540,CL-1540,Manufacturing Group LLC v. ACME Corp - Employment Dispute,M&A,2025-03-14,Hannah Lee,"$18,277.00"
MAT-1541,CL-1541,Technology Solutions Inc - Regulatory Inquiry,Immigration,03-Sep-2021,Emily Davis,41276
MAT-1542,CL-1542,Insurance International - Regulatory Inquiry,M&A,14/11/23,James Wilson,"41,308"
MAT-1543,CL-1543,Telecommunications Partners - Contract Breach,Contracts,1718267680,Daniel Park,30998
MAT-1544,CL-1544,Construction International - Contract Breach,IP,13/03/2025,Emily Davis,24610
MAT-1545,CL-1545,Aerospace International - Contract Breach,Contracts,2022-05-30,Daniel Park,25539
MAT-1546,CL-1546,Automotive Systems - Regulatory Inquiry,Corporate,25/11/23,Emily Davis,11732
MAT-1547,CL-1547,Automotive Systems v. ACME Corp - Employment Dispute,Employment,23-Mar-2023,Daniel Park,10387
MAT-1548,CL-1548,Automotive Group LLC - Contract Breach,Employment,27-May-2021,Daniel Park,10349
MAT-1549,CL-1549,Transportation Systems v. ACME Corp - Employment Dispute,Environmental,11-Oct-2023,Robert Taylor,28103
MAT-1550,CL-1550,Pharmaceuticals International - Contract Breach,Regulatory,01-Aug-2022,Mark Thompson,11336
MAT-1551,CL-1551,Technology Systems - Contract Breach,Regulatory,1625646880,Lina Gomez,"15,789"
MAT-1552,CL-1552,Telecommunications Solutions Inc - Master Services Agreement Negotiation,IP,11/10/25,Mark Thompson,"""18,501.00"""
MAT-1553,CL-1553,Energy Solutions Inc v. ACME Corp - Employment Dispute,Environmental,19/02/2023,Robert Taylor,"€40,568"
MAT-1554,CL-1554,Retail Holdings Corp - Master Services Agreement Negotiation,Employment,1671957280,Emily Davis,36K
MAT-1555,CL-1555,Transportation Systems - Regulatory Inquiry,Contracts,12-Nov-2023,Mark Thompson,"$37,711"
MAT-1556,CL-1556,Aerospace Partners - Regulatory Inquiry,Corporate,12/01/2023,Ayesha Khan,37181
MAT-1557,CL-1557,Aerospace Group LLC - Regulatory Inquiry,Regulatory,07/01/2025,Mark Thompson,"""17,203.00"""
MAT-1558,CL-1558,Finance Group LLC - Contract Breach,Immigration,1608971680,Daniel Park,5K
MAT-1559,CL-1559,Manufacturing Holdings Corp - Regulatory Inquiry,Employment,1635150880,Lina Gomez,"""30,974.00"""
MAT-1560,CL-1560,Transportation Group LLC - Master Services Agreement Negotiation,Tax,26/06/24,Michael Brown,35083
MAT-1561,CL-1561,Real Estate Solutions Inc - Master Services Agreement Negotiation,Corporate,1693470880,James Wilson,5244
MAT-1562,CL-1562,Finance Solutions Inc - Regulatory Inquiry,Contracts,20/02/2021,Emily Davis,12873
MAT-1563,CL-1563,Technology Group LLC - Contract Breach,Environmental,1612686880,Ayesha Khan,"40,204"
MAT-1564,CL-1564,Pharmaceuticals Solutions Inc v. ACME Corp - Employment Dispute,Tax,12/07/23,Hannah Lee,19122
MAT-1565,CL-1565,Retail Group LLC - Contract Breach,M&A,2022-04-23,James Wilson,42350
MAT-1566,CL-1566,Pharmaceuticals Holdings Corp v. ACME Corp - Employment Dispute,Corporate,10/12/20,Daniel Park,40591
MAT-1567,CL-1567,Real Estate International v. ACME Corp - Employment Dispute,Regulatory,03/04/2022,Lina Gomez,"€18,473"
MAT-1568,CL-1568,Construction Group LLC - Master Services Agreement Negotiation,Environmental,1748421280,Emily Davis,39134
MAT-1569,CL-1569,Manufacturing Group LLC - Master Services Agreement Negotiation,Contracts,25/11/24,Lina Gomez,6K
MAT-1570,CL-1570,Automotive Group LLC - Master Services Agreement Negotiation,Employment,03/09/21,Michael Brown,25114
MAT-1571,CL-1571,Healthcare Holdings Corp - Contract Breach,Immigration,14-Jun-2025,Mark Thompson,27K
MAT-1572,CL-1572,Technology Solutions Inc v. ACME Corp - Employment Dispute,Immigration,16/09/2022,James Wilson,"$15,939"
MAT-1573,CL-1573,Retail International - Regulatory Inquiry,Environmental,1746174880,Ayesha Khan,31K
MAT-1574,CL-1574,Telecommunications Solutions Inc - Contract Breach,Tax,06/03/2023,Hannah Lee,35226
MAT-1575,CL-1575,Insurance Systems - Regulatory Inquiry,Tax,1664094880,James Wilson,28650
MAT-1576,CL-1576,Energy Group LLC v. ACME Corp - Employment Dispute,M&A,13/03/2023,Mark Thompson,44034
MAT-1577,CL-1577,Retail Solutions Inc v. ACME Corp - Employment Dispute,Immigration,1667723680,Daniel Park,16741
MAT-1578,CL-1578,Finance Solutions Inc - Master Services Agreement Negotiation,Regulatory,1657269280,Robert Taylor,"$49,536.00"
MAT-1579,CL-1579,Technology International - Master Services Agreement Negotiation,IP,23/05/2025,Daniel Park,"$10,373.00"
MAT-1580,CL-1580,Transportation International v. ACME Corp - Employment Dispute,M&A,01/12/25,Emily Davis,23550
MAT-1581,CL-1581,Retail Group LLC - Master Services Agreement Negotiation,Tax,15/01/2025,Robert Taylor,22140
MAT-1582,CL-1582,Pharmaceuticals Solutions Inc - Master Services Agreement Negotiation,IP,1694939680,Emily Davis,30K
MAT-1583,CL-1583,Telecommunications Solutions Inc - Master Services Agreement Negotiation,IP,19/03/21,Lina Gomez,27K
MAT-1584,CL-1584,Healthcare Systems - Contract Breach,IP,1684226080,Sarah Chen,35263
MAT-1585,CL-1585,Finance Group LLC - Contract Breach,IP,17/02/22,Robert Taylor,"$12,744"
MAT-1586,CL-1586,Retail Systems - Regulatory Inquiry,Contracts,2024-03-16,Sarah Chen,49K
MAT-1587,CL-1587,Insurance Partners - Contract Breach,Corporate,30-Sep-2022,Robert Taylor,"15,369"
MAT-1588,CL-1588,Construction Systems - Contract Breach,Employment,21/11/23,James Wilson,45505
MAT-1589,CL-1589,Retail Group LLC v. ACME Corp - Employment Dispute,IP,2025-04-09,Mark Thompson,25K
MAT-1590,CL-1590,Automotive Solutions Inc - Regulatory Inquiry,Tax,31/05/2022,Ayesha Khan,32K
MAT-1591,CL-1591,Insurance Systems - Contract Breach,Litigation,25/01/2023,Sarah Chen,9K
MAT-1592,CL-1592,Transportation Solutions Inc v. ACME Corp - Employment Dispute,Environmental,1729154080,Michael Brown,"37,830"
MAT-1593,CL-1593,Pharmaceuticals Solutions Inc - Contract Breach,Regulatory,1613291680,Ayesha Khan,22944
MAT-1594,CL-1594,Banking Holdings Corp - Contract Breach,Corporate,1738053280,Ayesha Khan,30K
MAT-1595,CL-1595,Construction Partners v. ACME Corp - Employment Dispute,Corporate,1634459680,Lina Gomez,38K
MAT-1596,CL-1596,Banking Partners v. ACME Corp - Employment Dispute,M&A,15-May-2022,Robert Taylor,34K
MAT-1597,CL-1597,Energy Partners - Contract Breach,Regulatory,2021-02-17,Lina Gomez,21K
MAT-1598,CL-1598,Finance International v. ACME Corp - Employment Dispute,Contracts,1760430880,Lina Gomez,20K
MAT-1599,CL-1599,Finance Group LLC v. ACME Corp - Employment Dispute,IP,08/11/2021,Emily Davis,49513
MAT-1600,CL-1600,Aerospace Solutions Inc v. ACME Corp - Employment Dispute,Regulatory,1718872480,Robert Taylor,"""6,768.00"""
MAT-1601,CL-1601,Energy Systems - Contract Breach,Immigration,02-Aug-2021,Daniel Park,39K
MAT-1602,CL-1602,Pharmaceuticals Group LLC v. ACME Corp - Employment Dispute,Regulatory,30/10/21,Ayesha Khan,31K
MAT-1603,CL-1603,Banking Holdings Corp - Contract Breach,Environmental,12-Jul-2024,Mark Thompson,44K
MAT-1604,CL-1604,Technology Solutions Inc - Master Services Agreement Negotiation,IP,1621067680,Lina Gomez,36111
MAT-1605,CL-1605,Finance Group LLC - Master Services Agreement Negotiation,M&A,12/12/23,Mark Thompson,"€30,318"
MAT-1606,CL-1606,Transportation International - Master Services Agreement Negotiation,IP,04-May-2025,James Wilson,14250
MAT-1607,CL-1607,Pharmaceuticals Solutions Inc - Contract Breach,Immigration,18-May-2022,Michael Brown,18498
MAT-1608,CL-1608,Real Estate Partners - Contract Breach,M&A,04/06/24,Sarah Chen,33303
MAT-1609,CL-1609,Manufacturing Solutions Inc - Contract Breach,Tax,23-Apr-2021,Ayesha Khan,22331
MAT-1610,CL-1610,Pharmaceuticals Systems - Master Services Agreement Negotiation,IP,2024-04-30,Robert Taylor,8K
MAT-1611,CL-1611,Energy Systems - Contract Breach,Tax,01/09/2025,Sarah Chen,39951
MAT-1612,CL-1612,Finance Partners v. ACME Corp - Employment Dispute,Corporate,1672994080,Lina Gomez,43K
MAT-1613,CL-1613,Pharmaceuticals Systems - Regulatory Inquiry,Tax,1672907680,Ayesha Khan,"$20,470.00"
MAT-1614,CL-1614,Telecommunications Systems v. ACME Corp - Employment Dispute,M&A,06-Dec-2020,Ayesha Khan,"€34,306"
MAT-1615,CL-1615,Technology Solutions Inc v. ACME Corp - Employment Dispute,Immigration,27/09/24,Robert Taylor,6502
MAT-1616,CL-1616,Retail Partners - Contract Breach,Contracts,03-Oct-2025,Michael Brown,39593
MAT-1617,CL-1617,Retail Partners - Master Services Agreement Negotiation,IP,10/06/25,Michael Brown,15K
MAT-1618,CL-1618,Technology Systems - Regulatory Inquiry,Corporate,30/01/21,Mark Thompson,"$42,354"
MAT-1619,CL-1619,Pharmaceuticals Group LLC v. ACME Corp - Employment Dispute,Tax,17/11/23,Lina Gomez,"$49,051"
MAT-1620,CL-1620,Transportation Group LLC - Master Services Agreement Negotiation,Corporate,2023-06-02,Emily Davis,26K
MAT-1621,CL-1621,Finance Group LLC - Contract Breach,Employment,2022-05-25,Daniel Park,"$47,020.00"
MAT-1622,CL-1622,Automotive Solutions Inc - Master Services Agreement Negotiation,M&A,20/02/23,Daniel Park,34K
MAT-1623,CL-1623,Pharmaceuticals Systems v. ACME Corp - Employment Dispute,M&A,2022-12-10,Michael Brown,"$38,573"
MAT-1624,CL-1624,Healthcare Partners - Regulatory Inquiry,Immigration,29-Apr-2023,James Wilson,33K
MAT-1625,CL-1625,Aerospace Group LLC v. ACME Corp - Employment Dispute,IP,1609317280,Lina Gomez,45K
MAT-1626,CL-1626,Banking Systems - Regulatory Inquiry,IP,11/11/2025,Robert Taylor,12712
MAT-1627,CL-1627,Pharmaceuticals Group LLC - Master Services Agreement Negotiation,Corporate,16/07/2024,Lina Gomez,33K
MAT-1628,CL-1628,Telecommunications Holdings Corp v. ACME Corp - Employment Dispute,Environmental,2021-04-09,Emily Davis,22K
MAT-1629,CL-1629,Retail Group LLC - Regulatory Inquiry,Environmental,03/10/21,James Wilson,6569
MAT-1630,CL-1630,Pharmaceuticals Group LLC - Master Services Agreement Negotiation,Tax,1687509280,James Wilson,27K
MAT-1631,CL-1631,Finance Partners v. ACME Corp - Employment Dispute,IP,2021-10-01,Mark Thompson,15K
MAT-1632,CL-1632,Pharmaceuticals Solutions Inc - Contract Breach,Environmental,2023-08-31,Robert Taylor,17834
MAT-1633,CL-1633,Banking Holdings Corp - Contract Breach,Regulatory,2021-02-25,James Wilson,28109
MAT-1634,CL-1634,Insurance Systems - Master Services Agreement Negotiation,Tax,2022-04-25,Robert Taylor,28K
MAT-1635,CL-1635,Banking Holdings Corp - Master Services Agreement Negotiation,Tax,01/01/2025,Ayesha Khan,12698
MAT-1636,CL-1636,Technology Partners - Master Services Agreement Negotiation,Employment,02/02/24,Emily Davis,6441
MAT-1637,CL-1637,Finance International - Master Services Agreement Negotiation,Immigration,29/12/21,Hannah Lee,"$30,199.00"
MAT-1638,CL-1638,Healthcare Partners - Master Services Agreement Negotiation,Immigration,2021-07-14,Mark Thompson,"""42,133.00"""
MAT-1639,CL-1639,Transportation International - Contract Breach,Immigration,11-Dec-2021,Lina Gomez,19255
MAT-1640,CL-1640,Pharmaceuticals Group LLC - Regulatory Inquiry,Environmental,15/12/20,Michael Brown,43K
MAT-1641,CL-1641,Real Estate International - Master Services Agreement Negotiation,Litigation,04/08/2024,James Wilson,"$29,559"
MAT-1642,CL-1642,Healthcare Partners - Regulatory Inquiry,Contracts,18/08/21,Ayesha Khan,"33,612"
MAT-1643,CL-1643,Technology Holdings Corp - Regulatory Inquiry,Employment,1703838880,Emily Davis,"€28,746"
MAT-1644,CL-1644,Technology Solutions Inc - Master Services Agreement Negotiation,Immigration,18/03/2022,Emily Davis,27055
MAT-1645,CL-1645,Insurance Systems - Contract Breach,IP,23-Mar-2025,Emily Davis,45K
MAT-1646,CL-1646,Insurance Systems - Master Services Agreement Negotiation,Immigration,2023-09-30,Michael Brown,"€49,250"
MAT-1647,CL-1647,Finance Systems - Master Services Agreement Negotiation,Immigration,04/05/2024,Emily Davis,26321
MAT-1648,CL-1648,Retail International v. ACME Corp - Employment Dispute,M&A,21-Aug-2023,Lina Gomez,"$7,691.00"
MAT-1649,CL-1649,Telecommunications Holdings Corp v. ACME Corp - Employment Dispute,Corporate,23/11/23,Robert Taylor,"""28,088.00"""
MAT-1650,CL-1650,Banking Partners - Master Services Agreement Negotiation,Immigration,25/06/25,Emily Davis,38278
MAT-1651,CL-1651,Technology Partners - Contract Breach,Litigation,1685522080,Lina Gomez,"""46,129.00"""
MAT-1652,CL-1652,Energy Solutions Inc v. ACME Corp - Employment Dispute,Environmental,05/11/23,Hannah Lee,"12,698"
MAT-1653,CL-1653,Technology Systems - Regulatory Inquiry,Contracts,1634286880,Lina Gomez,36622
MAT-1654,CL-1654,Energy Solutions Inc v. ACME Corp - Employment Dispute,IP,27/07/2025,Michael Brown,26K
MAT-1655,CL-1655,Telecommunications Solutions Inc - Contract Breach,M&A,2022-01-22,Robert Taylor,35267
MAT-1656,CL-1656,Aerospace Systems v. ACME Corp - Employment Dispute,Contracts,2022-02-12,Ayesha Khan,"$32,641"
MAT-1657,CL-1657,Automotive International v. ACME Corp - Employment Dispute,Litigation,1725525280,Robert Taylor,6957
MAT-1658,CL-1658,Manufacturing Systems - Master Services Agreement Negotiation,M&A,2021-10-20,Robert Taylor,29615
MAT-1659,CL-1659,Banking Holdings Corp - Contract Breach,Tax,09/02/22,Hannah Lee,"$31,037.00"
MAT-1660,CL-1660,Aerospace Systems - Regulatory Inquiry,Litigation,1641890080,Mark Thompson,23107
MAT-1661,CL-1661,Construction Group LLC v. ACME Corp - Employment Dispute,IP,01/05/24,James Wilson,"""27,045.00"""
MAT-1662,CL-1662,Healthcare Partners v. ACME Corp - Employment Dispute,Litigation,2024-01-13,Robert Taylor,33K
MAT-1663,CL-1663,Construction Solutions Inc - Contract Breach,Regulatory,30/10/2023,Ayesha Khan,32K
MAT-1664,CL-1664,Aerospace Partners - Master Services Agreement Negotiation,Environmental,2021-08-31,James Wilson,24K
MAT-1665,CL-1665,Healthcare International - Regulatory Inquiry,Corporate,2024-04-09,Daniel Park,"""10,207.00"""
MAT-1666,CL-1666,Healthcare Group LLC - Regulatory Inquiry,Tax,1707813280,Emily Davis,11126
MAT-1667,CL-1667,Finance Systems - Contract Breach,Regulatory,20/10/22,Sarah Chen,8K
MAT-1668,CL-1668,Transportation Group LLC v. ACME Corp - Employment Dispute,Corporate,2022-12-25,Daniel Park,"$47,351.00"
MAT-1669,CL-1669,Finance Partners - Master Services Agreement Negotiation,Litigation,24-Oct-2024,Emily Davis,11084
MAT-1670,CL-1670,Telecommunications Partners v. ACME Corp - Employment Dispute,IP,23/08/2023,Hannah Lee,8177
MAT-1671,CL-1671,Telecommunications Partners - Contract Breach,Regulatory,20/09/2022,Ayesha Khan,20924
MAT-1672,CL-1672,Finance Solutions Inc - Contract Breach,IP,2022-11-15,Ayesha Khan,38K
MAT-1673,CL-1673,Manufacturing Group LLC v. ACME Corp - Employment Dispute,Environmental,16/12/2022,Ayesha Khan,"$23,568.00"
MAT-1674,CL-1674,Insurance Systems - Regulatory Inquiry,Tax,2023-08-27,Sarah Chen,22889
MAT-1675,CL-1675,Construction Holdings Corp - Master Services Agreement Negotiation,M&A,30/12/21,Emily Davis,"€17,163"
MAT-1676,CL-1676,Retail Partners v. ACME Corp - Employment Dispute,Corporate,23-Mar-2023,Lina Gomez,14758
MAT-1677,CL-1677,Energy Group LLC - Regulatory Inquiry,M&A,1649925280,Michael Brown,"49,841"
MAT-1678,CL-1678,Insurance Holdings Corp v. ACME Corp - Employment Dispute,Corporate,10/06/2023,Ayesha Khan,38966
MAT-1679,CL-1679,Technology Solutions Inc - Regulatory Inquiry,M&A,02/07/2022,Lina Gomez,25K
MAT-1680,CL-1680,Insurance Group LLC - Contract Breach,Employment,23/06/2024,Lina Gomez,44K
MAT-1681,CL-1681,Pharmaceuticals Systems v. ACME Corp - Employment Dispute,Litigation,1748334880,Ayesha Khan,26K
MAT-1682,CL-1682,Transportation Systems v. ACME Corp - Employment Dispute,Contracts,1655800480,Ayesha Khan,5670
MAT-1683,CL-1683,Real Estate Holdings Corp - Contract Breach,Immigration,1622104480,Robert Taylor,22581
MAT-1684,CL-1684,Transportation Partners - Regulatory Inquiry,Immigration,27/03/25,Mark Thompson,14K
MAT-1685,CL-1685,Manufacturing Solutions Inc - Contract Breach,Contracts,2023-10-08,Lina Gomez,"$14,002"
MAT-1686,CL-1686,Aerospace Partners v. ACME Corp - Employment Dispute,Regulatory,2023-03-12,Ayesha Khan,8K
MAT-1687,CL-1687,Healthcare Partners v. ACME Corp - Employment Dispute,Corporate,25/03/24,Michael Brown,"$37,490.00"
MAT-1688,CL-1688,Finance Partners - Contract Breach,Litigation,1661243680,James Wilson,"€49,989"
MAT-1689,CL-1689,Pharmaceuticals Partners - Contract Breach,Litigation,2023-02-07,Michael Brown,"""41,806.00"""
MAT-1690,CL-1690,Transportation Holdings Corp - Contract Breach,Employment,13-Sep-2023,Hannah Lee,"€47,707"
MAT-1691,CL-1691,Energy Holdings Corp - Contract Breach,Environmental,1726648480,Lina Gomez,"$19,692.00"
MAT-1692,CL-1692,Real Estate Group LLC - Contract Breach,Corporate,27-Jun-2024,Mark Thompson,28273
MAT-1693,CL-1693,Banking International - Regulatory Inquiry,IP,1712997280,Daniel Park,10752
MAT-1694,CL-1694,Real Estate Systems v. ACME Corp - Employment Dispute,Tax,24/01/21,Mark Thompson,13997
MAT-1695,CL-1695,Finance International v. ACME Corp - Employment Dispute,Environmental,18-Sep-2022,Mark Thompson,48953
MAT-1696,CL-1696,Transportation Partners v. ACME Corp - Employment Dispute,Employment,2024-08-30,Ayesha Khan,40869
MAT-1697,CL-1697,Healthcare Group LLC - Regulatory Inquiry,M&A,1731746080,Ayesha Khan,41874
MAT-1698,CL-1698,Transportation Partners - Contract Breach,Regulatory,2021-02-16,Hannah Lee,49015
MAT-1699,CL-1699,Telecommunications Partners - Master Services Agreement Negotiation,Regulatory,2022-11-05,Ayesha Khan,5K
MAT-1700,CL-1700,Retail Solutions Inc - Contract Breach,Environmental,15-Oct-2021,Mark Thompson,7832
MAT-1701,CL-1701,Insurance International v. ACME Corp - Employment Dispute,Environmental,15-Dec-2022,Mark Thompson,"27,909"
MAT-1702,CL-1702,Transportation Group LLC - Master Services Agreement Negotiation,Litigation,1658738080,Robert Taylor,26K
MAT-1703,CL-1703,Healthcare Solutions Inc - Contract Breach,Contracts,18-Jun-2022,James Wilson,"$11,270"
MAT-1704,CL-1704,Insurance Solutions Inc v. ACME Corp - Employment Dispute,Immigration,1756715680,Ayesha Khan,5K
MAT-1705,CL-1705,Finance Systems - Master Services Agreement Negotiation,Litigation,2024-09-05,Mark Thompson,33056
MAT-1706,CL-1706,Healthcare Group LLC - Contract Breach,Contracts,01/09/23,Mark Thompson,23841
MAT-1707,CL-1707,Banking Systems - Regulatory Inquiry,M&A,30/07/24,Michael Brown,7K
MAT-1708,CL-1708,Finance Group LLC - Regulatory Inquiry,Contracts,1714725280,Michael Brown,10700
MAT-1709,CL-1709,Technology Holdings Corp - Master Services Agreement Negotiation,Litigation,13/02/21,Sarah Chen,16503
MAT-1710,CL-1710,Energy Holdings Corp - Master Services Agreement Negotiation,Corporate,06-Jan-2024,James Wilson,32428
MAT-1711,CL-1711,Manufacturing Holdings Corp - Contract Breach,Litigation,2025-01-29,James Wilson,34943
MAT-1712,CL-1712,Aerospace Group LLC - Master Services Agreement Negotiation,Corporate,23-Sep-2021,Michael Brown,14435
MAT-1713,CL-1713,Insurance Partners - Contract Breach,IP,2021-09-21,James Wilson,41K
MAT-1714,CL-1714,Pharmaceuticals International - Master Services Agreement Negotiation,IP,2023-04-30,James Wilson,9K
MAT-1715,CL-1715,Technology Holdings Corp - Regulatory Inquiry,Employment,17-May-2023,Sarah Chen,16K
MAT-1716,CL-1716,Manufacturing International v. ACME Corp - Employment Dispute,Regulatory,28-Oct-2025,Ayesha Khan,22K
MAT-1717,CL-1717,Transportation Holdings Corp - Contract Breach,Litigation,2021-01-13,Mark Thompson,26K
MAT-1718,CL-1718,Finance Group LLC - Master Services Agreement Negotiation,M&A,2025-02-07,Ayesha Khan,"$39,603"
MAT-1719,CL-1719,Manufacturing Systems v. ACME Corp - Employment Dispute,Contracts,01-Feb-2022,Sarah Chen,32K
MAT-1720,CL-1720,Automotive Systems - Master Services Agreement Negotiation,Litigation,14-Sep-2022,Mark Thompson,14K
MAT-1721,CL-1721,Telecommunications Solutions Inc v. ACME Corp - Employment Dispute,Employment,2021-12-08,James Wilson,40676
MAT-1722,CL-1722,Technology International - Regulatory Inquiry,IP,04-Sep-2024,Robert Taylor,23640
MAT-1723,CL-1723,Technology Solutions Inc - Regulatory Inquiry,Regulatory,1728722080,Sarah Chen,"€5,426"
MAT-1724,CL-1724,Pharmaceuticals Partners - Master Services Agreement Negotiation,M&A,23/04/2023,Ayesha Khan,5189
MAT-1725,CL-1725,Automotive Solutions Inc - Contract Breach,Corporate,11/08/24,Lina Gomez,"$34,423.00"
MAT-1726,CL-1726,Construction Systems - Master Services Agreement Negotiation,IP,13-Jun-2023,Lina Gomez,12K
MAT-1727,CL-1727,Technology Systems - Regulatory Inquiry,Environmental,1666946080,Hannah Lee,"$18,904.00"
MAT-1728,CL-1728,Technology Solutions Inc - Master Services Agreement Negotiation,Immigration,14/10/2023,James Wilson,34754
MAT-1729,CL-1729,Technology Group LLC - Master Services Agreement Negotiation,IP,13/07/2022,James Wilson,37347
MAT-1730,CL-1730,Real Estate Holdings Corp v. ACME Corp - Employment Dispute,Employment,2022-01-27,Daniel Park,28K
MAT-1731,CL-1731,Finance Holdings Corp - Master Services Agreement Negotiation,Immigration,13/07/24,Ayesha Khan,36989
MAT-1732,CL-1732,Pharmaceuticals Systems v. ACME Corp - Employment Dispute,Tax,1672734880,Daniel Park,24K
MAT-1733,CL-1733,Telecommunications Systems - Regulatory Inquiry,M&A,11/04/21,James Wilson,"""26,892.00"""
MAT-1734,CL-1734,Aerospace International - Contract Breach,IP,20/02/2021,Michael Brown,"""29,161.00"""
MAT-1735,CL-1735,Energy Holdings Corp v. ACME Corp - Employment Dispute,Contracts,16/04/23,Daniel Park,32877
MAT-1736,CL-1736,Healthcare Holdings Corp - Master Services Agreement Negotiation,Environmental,2023-08-13,Hannah Lee,13K
MAT-1737,CL-1737,Energy Systems - Master Services Agreement Negotiation,Corporate,03/02/2021,Emily Davis,"$12,703"
MAT-1738,CL-1738,Transportation Systems - Master Services Agreement Negotiation,IP,12/04/2022,Robert Taylor,43K
MAT-1739,CL-1739,Energy Partners - Master Services Agreement Negotiation,Employment,1755938080,Michael Brown,"€17,865"
MAT-1740,CL-1740,Aerospace Holdings Corp v. ACME Corp - Employment Dispute,Contracts,1760344480,Emily Davis,48799
MAT-1741,CL-1741,Construction Holdings Corp v. ACME Corp - Employment Dispute,Tax,1749630880,Daniel Park,48K
MAT-1742,CL-1742,Transportation Systems - Master Services Agreement Negotiation,Corporate,11-Mar-2025,Emily Davis,11K
MAT-1743,CL-1743,Retail Group LLC - Contract Breach,Environmental,1710491680,Sarah Chen,6K
MAT-1744,CL-1744,Aerospace Systems - Contract Breach,Litigation,21/11/2023,Robert Taylor,41892
MAT-1745,CL-1745,Real Estate Holdings Corp - Master Services Agreement Negotiation,IP,1611477280,James Wilson,18K
MAT-1746,CL-1746,Technology Partners v. ACME Corp - Employment Dispute,Environmental,13/06/21,Michael Brown,39776
MAT-1747,CL-1747,Manufacturing International - Master Services Agreement Negotiation,IP,02-Dec-2023,Michael Brown,32K
MAT-1748,CL-1748,Construction Group LLC v. ACME Corp - Employment Dispute,Corporate,09/11/2024,Michael Brown,40K
MAT-1749,CL-1749,Manufacturing International - Contract Breach,Employment,1636014880,Michael Brown,"""22,179.00"""
MAT-1750,CL-1750,Insurance Systems v. ACME Corp - Employment Dispute,Tax,31-Jul-2024,Robert Taylor,45K
MAT-1751,CL-1751,Manufacturing International - Regulatory Inquiry,M&A,28/11/2022,Ayesha Khan,29K
MAT-1752,CL-1752,Technology Group LLC v. ACME Corp - Employment Dispute,Tax,2024-12-03,Mark Thompson,14476
MAT-1753,CL-1753,Construction Solutions Inc - Contract Breach,IP,2024-06-29,Sarah Chen,"$46,970"
MAT-1754,CL-1754,Finance Solutions Inc - Master Services Agreement Negotiation,Tax,06/09/2022,Mark Thompson,42263
MAT-1755,CL-1755,Telecommunications Holdings Corp - Master Services Agreement Negotiation,Regulatory,30/07/24,James Wilson,"18,951"
MAT-1756,CL-1756,Energy International v. ACME Corp - Employment Dispute,Immigration,11/09/2025,Ayesha Khan,47K
MAT-1757,CL-1757,Retail International - Regulatory Inquiry,Tax,13/08/24,James Wilson,26K
